municipal status,CODE OF LOCALITY,hebrew,DISTRICT,INDEX POPULATION 2019[1],INDEX VALUE 2019[2],RANK 2019[3] ,CLUSTER 2019[4] ,RANK 2017[3] ,CLUSTER 2017[4] ,DIFFERENCE (CLUSTER 2019 MINUS CLUSTER 2017),namme of local authurity
68,,נווה מדבר,6,"12,261",-2.844,1,1,1,1,0,NEVE MIDBAR
99,1192,ערערה-בנגב,6,"18,332",-2.479,2,1,2,1,0,AR'ARA-BANEGEV
99,1054,תל שבע,6,"20,808",-2.321,3,1,3,1,0,TEL SHEVA
99,1059,כסיפה,6,"21,809",-2.316,4,1,4,1,0,KUSEIFE
69,,אל קסום,6,"15,670",-2.271,5,1,8,1,0,AL-KASUM
0,3797,מודיעין עילית,7,"76,373",-2.247,6,1,5,1,0,MODI'IN ILLIT
99,1303,חורה,6,"22,337",-2.231,7,1,7,1,0,HURA
99,1286,שגב-שלום,6,"10,936",-2.207,8,1,6,1,0,SEGEV-SHALOM
99,1060,לקיה,6,"14,075",-2.049,9,1,9,1,0,LAQYE
0,3780,ביתר עילית,7,"59,268",-1.921,10,1,11,1,0,BETAR ILLIT
0,1161,רהט,6,"71,390",-1.876,11,1,10,1,0,RAHAT
99,3660,עמנואל,7,"3,896",-1.668,12,2,12,2,0,IMMANU'EL
99,922,רכסים,3,"12,647",-1.618,13,2,13,2,0,REKHASIM
0,6100,בני ברק,5,"203,229",-1.542,14,2,18,2,0,BENE BERAQ
99,541,ג'סר א-זרקא,3,"14,930",-1.484,15,2,15,2,0,JISR AZ-ZARQA
99,510,כפר מנדא,2,"20,188",-1.479,16,2,16,2,0,KAFAR MANDA
99,511,עילוט,2,"8,356",-1.463,17,2,14,2,0,ILUT
0,2610,בית שמש,1,"124,813",-1.433,18,2,21,2,0,BET SHEMESH
0,1309,אלעד,4,"48,760",-1.422,19,2,19,2,0,EL'AD
0,2710,אום אל-פחם,3,"56,109",-1.346,20,2,17,2,0,UMM AL-FAHM
65,,אל - בטוף,2,"8,039",-1.320,21,2,20,2,0,AL-BATOF
99,998,ביר אל-מכסור,2,"9,522",-1.251,22,2,26,2,0,BIR EL-MAKSUR
0,8000,צפת,2,"36,056",-1.221,23,2,29,2,0,ZEFAT
99,520,משהד,2,"8,373",-1.182,24,2,27,2,0,MESHHED
99,532,עין מאהל,2,"13,335",-1.177,25,2,24,2,0,EIN MAHEL
99,1137,קריית יערים,1,"6,036",-1.168,26,2,35,2,0,QIRYAT YE'ARIM
99,1327,מעלה עירון,3,"15,065",-1.147,27,2,23,2,0,MA'ALE IRON
99,46,יבנאל,2,"4,243",-1.146,28,2,40,3,-1,YAVNE'EL
99,522,נחף,2,"13,113",-1.146,29,2,28,2,0,NAHEF
99,538,שעב,2,"7,061",-1.143,30,2,22,2,0,SHA'AB
0,3000,ירושלים,1,"934,639",-1.118,31,2,38,3,-1,JERUSALEM
99,509,כפר כנא,2,"22,569",-1.109,32,2,32,2,0,KAFAR KANNA
99,1326,"בסמ""ה",3,"10,010",-1.104,33,2,30,2,0,BASMA
99,482,בועיינה-נוג'ידאת,2,"9,812",-1.102,34,2,31,2,0,BU'EINE-NUJEIDAT
99,975,זרזיר,2,"8,119",-1.094,35,2,36,2,0,ZARZIR
